id,asset,businessProcess,threat,vulnerability,existingControls,likelihood,impact,inherentScore,inherentLevel,treatment,plannedControls,residualScore,residualLevel,owner,dueDate,evidence,reviewStatus
RSK-001,Entra tenant,Identity,Password spray compromises a contractor,Supplier MFA/device boundary is insufficient,CA templates; RS001/RS002,4,5,20,Critical,Mitigate,Phishing-resistant MFA and contractor review,8,Medium,IAM Lead,2026-09-30,sentinel/analytics-rules/rs001-password-spray.yaml,OPEN
RSK-002,Privileged groups,Identity,Excessive privilege enables control changes,Standing membership or weak activation governance,RBAC matrix; audit fixtures,4,5,20,Critical,Mitigate,"PIM approval, 4h activation, SoD",6,Medium,CISO,2026-10-31,identity/pim/pim-design.json,OPEN
RSK-003,Emergency access,Identity,Break-glass credential misuse,Infrequent testing and broad exclusion,Monitored design; dual control,2,5,10,Medium,Mitigate,Quarterly sign-in/test review,5,Low,IAM Lead,2026-11-30,docs/identity/PRIVILEGED_ACCESS_RUNBOOK.md,OPEN
RSK-004,Guest/supplier identities,Supplier integration,Orphaned access persists,Sponsor or expiry is missing,JML workflow; access review design,4,4,16,High,Mitigate,Automated expiry and quarterly review,6,Medium,Supplier Manager,2026-10-15,identity/access-reviews/access-review-design.json,OPEN
RSK-005,GitHub OIDC identity,CI/CD,Repository/workflow compromise obtains Azure role,Trust subject or environment scope is too broad,OIDC design; protected environment,3,5,15,High,Mitigate,"Immutable subject, branch protection, short scope",5,Low,DevSecOps Lead,2026-09-30,docs/identity/OIDC_FEDERATION.md,OPEN
RSK-006,Terraform state,Cloud delivery,State reveals configuration or enables takeover,Weak backend access/versioning,Private ignored local state; backend design,3,5,15,High,Mitigate,"Project state vault, RBAC, versioning, lock",5,Low,Platform Owner,2026-10-31,infra/bootstrap/README.md,OPEN
RSK-007,Hub/spoke networks,Order processing,Unrestricted inbound exposes administrative services,NSG rule is broadened,RSP-010/RSP-011; RS007,3,5,15,High,Mitigate,Deny policy after lab impact test,5,Low,Network Lead,2026-09-30,infra/policies/controls.json,OPEN
RSK-008,Key Vault,Order processing,Secret enumeration supports further compromise,Excess identity access or network-path misconfiguration,"RBAC, purge protection, private endpoint, RS010",3,5,15,High,Mitigate,Live DNS/path validation and access review,6,Medium,Platform Owner,2026-10-31,infra/modules/security/main.tf,OPEN
RSK-009,Evidence storage,Audit readiness,Public/shared-key storage exposes evidence,Network or authorization control drifts,Public/shared-key disabled; private endpoint; RSP-006/RSP-007/RSP-014,3,5,15,High,Mitigate,Live path test and policy compliance evidence,5,Low,GRC Lead,2026-09-30,infra/policies/controls.json,OPEN
RSK-010,Log Analytics,Security operations,Ingestion stops without timely detection,Diagnostic setting deletion or quota exhaustion,RS008; freshness dashboard,4,5,20,Critical,Mitigate,"Protected settings, ingestion alerts, secondary evidence",7,Medium,SOC Lead,2026-09-30,sentinel/analytics-rules/rs008-monitoring-control-deleted.yaml,OPEN
